============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Sep 20 2019  09:44:08 pm
  Module:                 nco
  Operating conditions:   BCCOM 
  Interconnect mode:      placement
  Area mode:              physical library
============================================================

                                
   Gate    Instances    Area         Library     
OA32D4             1      7.560    tcbn65gplusbc 
OAI211D1           2      5.040    tcbn65gplusbc 
OAI211D2          11     47.520    tcbn65gplusbc 
OAI211D4           9     77.760    tcbn65gplusbc 
OAI21D1           48    103.680    tcbn65gplusbc 
OAI21D2           53    171.720    tcbn65gplusbc 
OAI21D4          129    835.920    tcbn65gplusbc 
OAI221D0           4     11.520    tcbn65gplusbc 
OAI221D1           4     12.960    tcbn65gplusbc 
OAI221XD4          2     21.600    tcbn65gplusbc 
OAI222D4           1      6.120    tcbn65gplusbc 
OAI222XD4          6     75.600    tcbn65gplusbc 
OAI22D1            5     12.600    tcbn65gplusbc 
OAI22D2           44    190.080    tcbn65gplusbc 
OAI22D4           19    171.000    tcbn65gplusbc 
OAI31D1            2      5.040    tcbn65gplusbc 
OAI31D4            1      8.640    tcbn65gplusbc 
OAI32D2            1      5.400    tcbn65gplusbc 
OR2D1             13     28.080    tcbn65gplusbc 
OR2D2              1      2.520    tcbn65gplusbc 
OR2D4              5     21.600    tcbn65gplusbc 
OR2D8              1      6.840    tcbn65gplusbc 
OR2XD1            17     36.720    tcbn65gplusbc 
OR3D1              1      2.520    tcbn65gplusbc 
OR4D4              1      6.120    tcbn65gplusbc 
SDFCNQD1          46    480.240    tcbn65gplusbc 
SDFCNQD4           3     36.720    tcbn65gplusbc 
SDFSNQD1           1     10.800    tcbn65gplusbc 
XNR2D1            46    165.600    tcbn65gplusbc 
XOR2D1             2      7.200    tcbn65gplusbc 
-------------------------------------------------
total           4948  18570.600                  


                                          
     Type      Instances    Area   Area % 
------------------------------------------
sequential           174  1532.520    8.3 
inverter            1010  1996.560   10.8 
buffer               251   782.640    4.2 
tristate             118   425.160    2.3 
logic               3395 13833.720   74.5 
physical_cells         0     0.000    0.0 
------------------------------------------
total               4948 18570.600  100.0 

